Zonal Office,Area Office,Dealer Name,Inventory Location,Part Number,Part Description,Stock QTY,RATE,Amount
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13411ABZ000S,GEAR BALANCER DRIVE,2,390.9485574,781.8971148
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13420ABZ000S,GEAR ASSEMBLY BALANCER DRIVEN,5,514.6696261,2573.348131
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13421ABZ000S,BALANCER SHAFT,1,377.6712364,377.6712364
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13538ABZ000S,SPRING THRUST,10,3.7956171,37.956171
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14100AAF400S,"""SHAFT COMP,CAM""",41,599.7074958,24588.00733
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14100AANB00S,SHAFT COMP CAM,54,645.2549005,34843.76463
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14100ACK000S,SHAFT COMP CAM,25,573.1381764,14328.45441
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14311AAF400S,SPROCKET TIMING,15,45.5474047,683.2110705
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14311ACK000,SPROCKET TIMING,11,34.16,375.76
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14321AAF400S,SPROCKET CAM,5,54.6568857,273.2844285
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14401AAF40099S,CHAIN CAM,144,91.0948095,13117.65257
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14401ABZ000S,CHAIN CAM (BORG WARNER),2,258.1019602,516.2039204
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14430AAF400S,ARM VALVE ROCKER,67,192.5382774,12900.06459
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14430AANB00S,ARM COMP IN VALVE ROCKER,83,383.5954912,31838.42577
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14430ABZ000S,ARM COMP VALVE ROCKER,1,632.414188,632.414188
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14451AAF400S,SHAFT INLET ROCKER ARM,54,29.6212735,1599.548769
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14451AANB00S,SHAFT ROCKER ARM,100,37.0265918,3702.65918
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14452AAF400S,SHAFT EXHAUST ROCKER ARM,107,29.6212735,3169.476265
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14500ACK000S,ARM COMP.CAM CHAIN TENSIONER,23,39.2481873,902.7083079
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14510ABZ000S,TENSIONER CAM CHAIN,1,51.8372285,51.8372285
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14515AAF400S,PLATE .TENSIONER,21,11.1079775,233.2675275
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14515ABZ000S,"PLATE, TENSIONER",10,9.6269139,96.269139
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14520AANB00S,LIFTER ASSY TENSIONER,99,214.7542325,21260.66902
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14610AAF400S,GUIDE CAM CHAIN,10,30.3618053,303.618053
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14610AANB00S,GUIDE CAM CHAIN,35,37.7671236,1321.849326
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14670ACK000S,SPRKT.COMP.CAM CHAIN GUIDE,85,31.1023371,2643.698654
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14711AANB00S,VALVE INLET,5,92.5664795,462.8323975
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14721AAF400S,VALVE EXHAUST,4,174.0249815,696.099926
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14721AANB00S,VALVE EXHAUST,10,184.3924272,1843.924272
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14751AANB00S,SPRING VALVE OUTER,10,19.7372087,197.372087
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14761AANB00S,SPRING VALVE INNER,5,19.7372087,98.6860435
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,14771AANB00S,RETAINER VALVE SPRING,5,12.1459746,60.729873
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15100AAF4099S,OIL PUMP ASSY,13,218.4568917,2839.939592
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15100AANB0099S,OIL PUMP ASSLY,27,199.2030639,5378.482725
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15100ACK001S,PUMP ASSY.OIL,26,318.4286896,8279.14593
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15421AAF400S,SCREEN OIL FILTER,20,16.7007151,334.014302
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15459ABZ000S,GASKET OIL FILTER CAP,20,7.5912341,151.824682
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15510ABWB00S,OIL HOSE A,2,170.0436444,340.0872888
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15520ABWB00S,OIL HOSE B,2,158.6567932,317.3135864
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,15650AAF400S,"GUAGE, OIL LEVEL",25,22.2159551,555.3988775
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16210AAF400S,INSULATOR,10,19.7372087,197.372087
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16210ABZ000S,INSULATOR COMP,1,64.4262697,64.4262697
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16210ACK000S,INSULATOR,23,23.5328258,541.2549934
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16211AAC800S,INSULATOR THROTTLE BODY,80,20.7348914,1658.791312
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16211AAF400S,INSULATOR THROTTLE BODY,64,22.014579,1408.933056
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16211AANB00S,INSULATOR INLET PIPE,5,19.7372087,98.6860435
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16217AANB00S,BAND INSULATOR,55,15.5511686,855.314273
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16229AANB00S,GASKET INSULATOR CARB,10,12.1459746,121.459746
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400AAE300011S,STAY THROTTLE WIRE,5,49.3430218,246.715109
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400AAE300017S,SOLENOID KIT,2,303.6180528,607.2361056
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400AAE300S,THROTTLE BODY ASSY,7,2917.695435,20423.86804
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400AAF400S,THROTTLE BODY ASSLY,5,5815.396509,29076.98255
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400AAGA00S,THROTTLE BODY ASSLY,2,3069.504461,6139.008922
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400AAL900S,THROTTLE BODY ASSY,3,4069.22244,12207.66732
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400ABS202S,THROTTLE BODY ASSY,6,2610.374722,15662.24833
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400ACK000S,THROTTLE BODY ASSY,4,5109.66967,20438.67868
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16400ACK020S,THROTTLE BODY ASSY,10,5109.66967,51096.6967
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16404ABZ000S,GASKET SLIDER CAP,5,15.1824683,75.9123415
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16409AAN110S,ASSY CIRCULAR CAP,267,37.7671236,10083.822
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16409ABZ000S,SLIDER CAP ASSY,15,59.2425469,888.6382035
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16410AAC800S,LINEAR STEPPER MOTOR,2,501.0214522,1002.042904
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16424AAE300S,INJECTOR CAP,76,139.2199852,10580.71888
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16424AAF400S,INJECTOR CAP,76,48.8751012,3714.507691
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16424AAGA00S,INJECTOR CAP ASSEMBLY,23,135.517326,3116.898498
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16424AAL900S,INJECTOR CAP,9,150.3279627,1352.951664
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16424AAWB00S,INJECTOR CAP,3,48.8751012,146.6253036
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16450AAF40002S,"CLIP, INJECTOR",20,14.8106367,296.212734
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16450AAL901S,INJECTOR ASSY FUEL,21,921.962136,19361.20486
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16450AANB00S,INJECTOR ASSY FUEL,7,1588.440789,11119.08552
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16450AAWB00S,INJECTOR ASSY FUEL,3,1151.527005,3454.581015
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16450ACK000S,INJECTOR ASSY. FUEL,30,888.6382034,26659.1461
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16451ABZ000S,INJECTOR,3,1129.31105,3387.93315
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16452AAF400S,O RING INJECTOR TOP,80,41.7517877,3340.143016
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16452AAL901S,O RING,25,12.1459746,303.649365
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16453AAF400S,O-RING INJECTOR BOTTOM,29,27.3284428,792.5248412
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16453AAL901S,RING SEAL,2,12.1459746,24.2919492
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16700AAC801S,UNIT ASSY FUEL PUMP,15,2739.967794,41099.51691
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16700AAE300S,UNIT ASSY FUEL PUMP,44,2017.949254,88789.76718
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16700AAF400S,UNIT ASSY FUEL PUMP,3,2068.611299,6205.833897
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16700AAL901S,UNIT ASSY FUEL PUMP,5,3795.22566,18976.1283
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16700ABZ001S,UNIT ASSY FUEL PUMP,1,5842.796187,5842.796187
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16701AAL901S,FUEL PUMP FILTER,3,199.9435958,599.8307874
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16702AAC802S,FULE PUMP O-RING,30,10.6277278,318.831834
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16702AAF400S,FUEL PUMP O-RING,240,19.7372087,4736.930088
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,16702AAL901S,FUEL PUMP ORING,50,17.7727641,888.638205
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17110AAGA00S,PIPE INLET,2,166.6196631,333.2393262
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17110AANB00S,PIPE COMP. INLET,1,117.6641289,117.6641289
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17110ABS200S,PIPE COMP INLET,1,200.4085809,200.4085809
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17111AAC800S,INLET PIPE,6,177.7276407,1066.365844
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17111AAF400S,PIPE INLET,1,150.3279627,150.3279627
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1711AAAWB00S,PIPE COMP INLET ASSY,1,1232.985507,1232.985507
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1711AACK000S,PIPE COMP INLET ASSY,2,1207.066893,2414.133786
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17199ACK000S,TUBE DRAIN SUB ASSY,5,48.5838984,242.919492
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,1719AAAGA00S,TUBE DRAIN SUB ASSY,2,56.9342559,113.8685118
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17209AAF400S,CASE COMP AIR C,2,246.715109,493.430218
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17210AAF400S,CASE AIR/C,2,289.5479479,579.0958958
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17210ACK000S,CASE AIR CLEANER,1,208.7589384,208.7589384
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17212AAF400S,"""HOLDER, AIR/C""",1,100.2042904,100.2042904
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17215AAL900S,DUCT AIR/C,50,33.3239326,1666.19663
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17220AAF400S,"""COVER, AIR/C""",2,60.7236106,121.4472212
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17220ABZ000S,COVER AIR/C CASE,1,71.8315881,71.8315881
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17224ACK000S,"WATER GUARD, FR",1,49.3430218,49.3430218
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17225ACK000S,CASE SUB ASSY AIR CLEANER,3,204.9633213,614.8899639
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17227ACK000S,V TUBE 11X15X27,20,5.3138639,106.277278
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,17231AAL900S,COVER AIR/C,4,102.1933934,408.7735736
